volid,reviewed,obscure,pubdate,birthdate,gender,nation,allwords,logistic,author,title,pubname,actually,realclass
loc.ark+=13960=t1gj02d1m,not,obscure,1854,1807,f,us,39919,0.433576697705,"Hewitt, Mary E.",Poems,,random,0
uc1.b274909,rev,known,1861,1821,f,uk,51722,0.613803788344,"Greenwell, Dora,",Poems,WR,reviewed,1
inu.30000108907506,not,obscure,1847,1794,m,us,70345,0.344373369384,"Tappan, William B.",Sacred and miscellaneous poems,,random,0
uc2.ark+=13960=t7zk5876h,not,obscure,1823,1800,m,us,11661,0.322512989038,"Bancroft, George,",Poems,,random,0
uc2.ark+=13960=t4gm86m20,rev,known,1859,1814,m,uk,26310,0.541324610937,"Hedderwick, James,",Lays of Middle Age,WR,reviewed,1
uc1.b3332871,rev,known,1914,1862,m,us,23255,0.393262229653,"Bangs, John Kendrick,",The foothills of Parnassus,PMV,reviewed,1
loc.ark+=13960=t01z4r32p,not,obscure,1914,1870,m,us,22475,0.443654130661,"Hewes, Charles Edwin,",Songs of the Rockies,,random,0
uc2.ark+=13960=t1sf2qq5z,rev,known,1828,1807,m,uk,22704,0.451054208977,"Montgomery, Robert,",The omnipresence of the Deity,ER,reviewed,1
nyp.33433076030273,rev,known,1842,1818,m,us,74981,0.511147885685,"Colton, George H.",Tecumseh;,GrM,reviewed,1
nyp.33433074874185,rev,known,1839,1806,m,uk,31042,0.549886993754,"Sterling, John,",Poems,QR,reviewed,1
loc.ark+=13960=t3902s17h,not,obscure,1918,1884,m,us,12437,0.486021955818,"Gruse, Edward.",Echoes of democracy,,random,0
loc.ark+=13960=t7wm1rg17,not,obscure,1907,0,f,us,15900,0.665428372224,"Johnson, Felicia Ross. [from old catalog]",Seamstress and poet,,random,0
nyp.33433075790711,not,obscure,1914,1873,m,us,12686,0.38086654624,"Fisher, Benjamin Franklin,",Life harmonies,,random,0
uc2.ark+=13960=t21c1v39v,rev,known,1866,1807,m,us,4143,0.604104813278,"Longfellow, Henry Wadsworth,",Flower-de-luce,ATL,"Norton, in-set",1
loc.ark+=13960=t1jh41981,not,obscure,1853,0,m,us,3449,0.494583532885,"Buchanan, William B.","Baltimore, or, Long, long time ago",,random,0
loc.ark+=13960=t85h85q7m,not,obscure,1901,1870,f,us,27775,0.34054055202,"Heyer, Mary B.",Under the southern sun [poems],,random,0
loc.ark+=13960=t9183w60x,not,obscure,1895,1846,m,us,34447,0.476476189552,"Savage, Richard,",After many years,,random,0
uc1.b182525,rev,known,1872,1830,m,us,42647,0.631285952758,"Hayne, Paul Hamilton,",Legends and lyrics,ATL,reviewed,1
uc2.ark+=13960=t23b6296r,rev,known,1898,1866,f,uk,13580,0.657330120377,"Shorter, Dora Sigerson,",The fairy changeling and other poems,FR,reviewed,1
mdp.39015065460522,not,obscure,1875,1811,m,uk,35961,0.364990427151,"Moffat, James C.",Alwyn,,random,0
uc2.ark+=13960=t0dv1cw73,not,obscure,1891,0,m,,12568,0.540128124951,"Irvine, J. P.",The green leaf and the gray,,random,0
loc.ark+=13960=t6k07vz1r,not,obscure,1890,0,m,us,906,0.36618695899,"Stone, Jasper Jay. [from old catalog]",The veteran's qualifications for civil service,,random,0
loc.ark+=13960=t77s85d09,not,obscure,1901,1855,m,us,10155,0.426235304733,"Dunham, Sam C.",The goldsmith of Nome,,random,0
uc2.ark+=13960=t8mc8v73b,rev,obscure,1900,1846,m,us,13758,0.566704316649,"Mifflin, Lloyd,",The fields of dawn and later sonnets,ATL,reviewed,1
uc2.ark+=13960=t9v121d4v,not,obscure,1869,0,,,15112,0.344693684377,"Ethelburga, O. S. B.","In coelo quies, and other poems",,random,0
nyp.33433082209572,not,obscure,1901,1815,m,us,16115,0.29531051071,"Edgar, Timothy Bloomfield.","Poems, rhymes, and sayings",,random,0
uc2.ark+=13960=t6g160f1q,not,obscure,1881,1806,m,uk,54982,0.310604715102,"Thomson, David,",Musings among the heather,,random,0
njp.32101067487577,rev,known,1892,1865,m,uk,31241,0.635419174491,"Yeats, W. B.",Wanderings of Oisin,FR,"Norton, in-set",1
uc1.b4104953,rev,known,1832,1794,m,us,46181,0.519810793678,"Bryant, William Cullen,",Poems,GrM,"Norton, in-set",1
nyp.33433074962709,not,obscure,1860,1824,m,us,40077,0.432487782868,"Valentine, Mann Satterwhite,",The mock auction,,random,0
loc.ark+=13960=t4xh06r18,not,known,1855,1836,m,us,12493,0.423956814658,"Winter, William,",Poems,,random,0
uc1.b4100590,rev,known,1918,1898,m,uk,6579,0.70331911551,"Waugh, Alec,",Resentment,EGO,reviewed,1
loc.ark+=13960=t77s8814j,not,obscure,1850,0,m,,21014,0.51741499223,"Parker, Henry W.",Poems,,random,0
uc1.b182470,not,obscure,1833,1813,m,uk,17902,0.423753523582,"Graham, John,",A vision of fair spirits,,random,0
loc.ark+=13960=t04x5sr13,rev,known,1912,1893,m,us,15011,0.669172404637,"Smith, Clark Ashton,",The star-treader,PMV,reviewed,1
uc2.ark+=13960=t9959d062,rev,known,1869,1819,m,us,38194,0.625247241166,"Lowell, James Russell,",Under the willows,FR,"Norton, in-set",1
loc.ark+=13960=t1fj2t30n,not,obscure,1892,0,,,4115,0.417999913625,"Rowley, A. A. [from old catalog]",Kansas campaign songs,,random,0
loc.ark+=13960=t50g4bb04,not,obscure,1900,0,,,4198,0.292175898681,"Dickson, William Bradford. [from old catalog]",Psalms of soul,,random,0
nyp.33433066637236,not,obscure,1886,1823,m,us,12421,0.385204825429,"Harris, Thomas Lake,",The joy-bringer,,random,0
inu.39000001277370,not,obscure,1853,1818,m,uk,38231,0.448518390778,"Hollingsworth, Alfred Johnstone,",The poetical works of the late Alfred Johnstone Hollingsworth,,random,0
loc.ark+=13960=t55d9qp4v,not,obscure,1903,0,,,10522,0.336651106503,"Kelley, N. P. [from old catalog]",Poems,,random,0
uc2.ark+=13960=t7jq10136,rev,known,1831,1774,m,uk,32273,0.339788040502,"Jones, John,",Attempts in verse,ER,reviewed,1
uc1.b119720,not,obscure,1875,1829,m,uk,28388,0.51705164998,"Veitch, John,","The Tweed, and Other Poems",,random,0
uc1.b167385,rev,known,1896,1871,f,uk,21956,0.705019664026,"Chesson, Nora,",Under quicken boughs,FR,reviewed,1
njp.32101066456896,rev,known,1856,1801,f,uk,30583,0.556626021968,"Clive, Caroline,",Poems,ER,reviewed,1
loc.ark+=13960=t7vm4v20f,not,obscure,1887,1824,m,us,23610,0.392416606908,"Williams, Dwight,","The beautiful city in song, and other poems",,random,0
uc2.ark+=13960=t6d221h2q,not,obscure,1911,0,,,4780,0.394102831479,"Phipps, Sarah Metcalf.",Thoughts in rhyme,,random,0
uc2.ark+=13960=t7hq3sh5d,not,obscure,1911,1840,m,us,23143,0.530295958377,"Barnard, William Francis.","The tongues of toil, and other poems",,random,0
njp.32101067680247,not,obscure,1918,1867,f,uk,25885,0.596682715435,"Carmichael, Amy,",Made in the pans,,random,0
wu.89098029051,not,obscure,1886,1839,f,us,24996,0.452149795556,"Henry, S. M. I.",The marble cross,,random,0
uc2.ark+=13960=t2h70bw5m,not,obscure,1851,1813,m,us,25699,0.382337231837,"Tuckerman, Henry T.",Poems,,random,0
uc2.ark+=13960=t0tq5tm1v,not,obscure,1862,1801,m,uk,47906,0.37127100305,"Kinloch, William Penney,",Time's treasure;,,random,0
loc.ark+=13960=t80k2xx3b,not,obscure,1870,0,m,us,39412,0.442813587038,"Henck, George Lewis. [from old catalog]",Poems,,random,0
uc1.b158313,rev,known,1852,1823,m,us,23467,0.558636093282,"Boker, George H.",The Podesta's Daughter,GrM,reviewed,1
njp.32101067707651,not,obscure,1874,1848,m,uk,4981,0.608772484725,"Beck, Edward Anthony,",The Holy sepulchre,,random,0
loc.ark+=13960=t24b3p10w,not,obscure,1842,0,m,us,23323,0.253924850584,"Smith, Benjamin","Poems, moral and religious",,random,0
loc.ark+=13960=t63494g1k,not,obscure,1907,1876,m,us,4785,0.490956730201,"Creel, George,",Quatrains of Christ,,random,0
nyp.33433066650874,rev,known,1912,1876,m,us,22359,0.597417206648,"Leonard, William Ellery,",The vaunt of man;,PMV,reviewed,1
uc2.ark+=13960=t5p848b89,not,obscure,1914,1828,m,uk,7897,0.436517024008,"Bonus, John,",Thoughts in verse for my friends,,random,0
uc2.ark+=13960=t5w66g25p,not,obscure,1880,1808,m,uk,56508,0.531007709885,"Turner, Charles Tennyson,","Collected sonnets, old and new",,random,0
loc.ark+=13960=t8ff4k852,not,obscure,1866,1830,m,us,6137,0.272447548549,"Westlake, J. Willis",Success,,random,0
loc.ark+=13960=t0tq6s38g,not,obscure,1913,1877,m,us,14213,0.543001407661,"Malloch, Douglas.",The woods,,random,0
loc.ark+=13960=t0qr59x0m,rev,obscure,1871,1847,m,us,28467,0.433268981052,"Fuller, Edwin W.",The angel in the cloud,ATL,reviewed,1
uc1.b119185,not,obscure,1875,1845,m,uk,55366,0.566121786835,"Anderson, Alexander",The Two Angels,,random,0
uc2.ark+=13960=t1hh6hw20,rev,known,1828,1759,m,uk,14379,0.369316879131,"Sharp, Richard,",Epistles in verse,QR,reviewed,1
njp.32101049721457,not,obscure,1896,1861,m,uk,7802,0.458620963403,"Ainslie, R. St. John",Sedbergh school songs,,random,0
uc2.ark+=13960=t82j69g7s,rev,known,1875,1849,m,us,11060,0.513883554922,"Baker, George Augustus,",Point lace and diamonds,ATL,reviewed,1
uva.x030758864,rev,known,1892,1858,m,us,15012,0.657257868215,"Lüders, Charles Henry,",The dead nymph,ATL,reviewed,1
loc.ark+=13960=t3rv11c37,not,obscure,1889,1849,f,uk,5670,0.417007076151,"Culler, Lucy Yeend.",Violet,,random,0
loc.ark+=13960=t5cc1sf60,not,obscure,1840,0,m,us,4669,0.328222999015,"Page, Theophilus. [from old catalog]",Heavenly musing;,,random,0
mdp.39015013157980,rev,known,1871,1836,f,us,18261,0.711513314061,"[Piatt, Sarah M. B.",A woman's poems,ATL,reviewed,1
uc2.ark+=13960=t9v12890g,rev,known,1857,1821,m,uk,14764,0.477069447236,"Locker-Lampson, Frederick,",London lyrics,ATL,reviewed,1
loc.ark+=13960=t1kh1508t,not,obscure,1864,1790,m,us,3288,0.423761136819,"Halleck, Fitz-Greene,",Young America,,random,0
uc1.$b803433,not,obscure,1873,1813,m,us,5662,0.237857695647,"Ricketson, Daniel,",The factory-bell,,random,0
loc.ark+=13960=t4hm64973,not,obscure,1846,0,m,us,15311,0.399692840434,"Plumer, Wm.",Lyrica sacra,,random,0
hvd.hwpnme,rev,known,1828,1788,m,uk,67915,0.483787786606,"Atherstone, Edwin,",The fall of Nineveh;,ER,reviewed,1
uc2.ark+=13960=t2s46hv0j,rev,known,1850,1807,m,us,14171,0.530108866659,"Whittier, John Greenleaf,",Songs of labor,GrM,"Norton, in-set",1
loc.ark+=13960=t2g740m4m,not,obscure,1870,0,,,17247,0.449018823475,"Atkinson, Mary Ellen.",Ivy leaves,,random,0
njp.32101066458066,not,obscure,1845,1805,m,uk,82764,0.442122902367,"Cooper, Thomas,",The purgatory of suicides,,random,0
uc2.ark+=13960=t7fq9w84p,not,obscure,1893,1811,m,uk,21964,0.583211243114,"Scott, William Bell,",A poet's harvest home,,random,0
mdp.39015063753589,rev,known,1880,1832,m,uk,39898,0.594204023205,"Arnold, Edwin,",Poems,ATL,reviewed,1
nyp.33433066625991,not,obscure,1875,0,,,10647,0.327131051327,"Peckham, P. Annetta.",Welded links,,random,0
loc.ark+=13960=t8w95sb6z,rev,known,1843,1816,m,us,10827,0.410407229995,"Tyler, Robert,",Death,GrM,reviewed,1
mdp.39015048709672,rev,known,1916,1873,m,uk,8180,0.758895826528,"De la Mare, Walter,","The listeners, and other poems",PMV,reviewed,1
uc1.b274748,not,obscure,1870,0,f,us,37123,0.226880718135,"Stephens, Lydia W.",Heart Problems,,random,0
nyp.33433074835962,rev,obscure,1910,1851,f,us,17244,0.633566562391,"Van Rensselaer, Schuyler,",Poems,PMV,reviewed,1
nyp.33433074802640,not,obscure,1897,1843,m,us,14570,0.504411795976,"Young, Claiborne Addison.",Way songs and wanderings,,random,0
hvd.hxdflv,not,obscure,1840,1803,m,us,53687,0.315689409347,"Brown, J. Newton",Emily,,random,0
nyp.33433066657317,not,obscure,1912,0,,,9657,0.667676263977,"Shepard, Mary Norsworthy.",Where it listeth,,random,0
loc.ark+=13960=t3zs39k35,not,obscure,1889,1849,m,us,4309,0.187205851198,"Crosby, Powell R. [from old catalog]","Po Crosby's Labor odes, containing twenty-five beautiful odes",,random,0
nyp.33433075824668,not,obscure,1853,0,m,us,18777,0.360304902441,"Hagen, John Cole.","Foot-prints of truth; or, Voice of humanity",,random,0
njp.32101051387882,not,obscure,1856,0,,uk,9161,0.366967902566,"Charlesworth, E. G.",Poems,,random,0
hvd.hnnzqj,rev,known,1835,1810,m,uk,21608,0.53191359504,"Alford, Henry,",The school of the heart,ER,reviewed,1
loc.ark+=13960=t1qf9763h,rev,known,1842,1807,m,us,12739,0.50905942581,"Longfellow, Henry Wadsworth,",Ballads and other poems,GrM,reviewed,1
uc2.ark+=13960=t76t0hr98,rev,known,1869,1833,m,us,24246,0.578354713313,"Stedman, Edmund Clarence,",The blameless prince,ATL,reviewed,1
njp.32101067300184,not,obscure,1862,1807,m,uk,16887,0.39365646702,"Park, Andrew,",The world,,random,0
njp.32101068972841,not,obscure,1863,0,f,uk,17313,0.590548332154,"Law, Isabella.",Winter weavings,,random,0
uc1.b3315153,rev,known,1875,1811,m,uk,42803,0.647633795937,"Scott, William Bell,",Poems,FR,reviewed,1
uc1.b182952,rev,known,1838,1745,m,uk,52110,0.36513732827,"Morris, Charles,",Lyra urbanica;,BM,reviewed,1
uc1.b158363,rev,known,1824,1777,m,uk,15043,0.480022154237,"Campbell, Thomas,",Theodric,ER,reviewed,1
uc2.ark+=13960=t0rr1v740,rev,known,1833,1805,m,uk,30244,0.302868028815,"Overton, Charles.",Ecclesia anglicana;,ER,reviewed,1
uc2.ark+=13960=t04x56b63,rev,known,1903,1865,f,uk,24057,0.64481662703,"Hope, Laurence,",Stars of the desert,FR,reviewed,1
uc2.ark+=13960=t0vq2xh3w,not,obscure,1869,1841,m,uk,22494,0.619987476889,"Ranking, Boyd Montgomerie Maurice,",Poems,,random,0
uc2.ark+=13960=t3kw57x2q,rev,known,1860,1794,m,us,1023,0.597814725953,"Bryant, William Cullen,",A forest hymn,ATL,"Norton, in-set",1
uc2.ark+=13960=t6736mr5n,not,obscure,1917,1888,m,us,4334,0.649273930136,"Aikins, Carroll.",Poems,,random,0
nyp.33433066569025,not,obscure,1914,1864,m,us,4724,0.53636368316,"Scofield, William Bacon.",Verses,,random,0
hvd.hxdamf,not,obscure,1842,1802,m,us,10927,0.446144513435,"Pierce, Augustus",The rebelliad;,,random,0
uc2.ark+=13960=t9c53mb7v,rev,known,1900,1869,m,uk,10294,0.663743738528,"Binyon, Laurence,",Odes,FR,reviewed,1
loc.ark+=13960=t40s0cg0n,not,obscure,1891,0,m,,39415,0.576288650592,"Stevens, Orrin Cedesman.","An idyl of the sun, and other poems",,random,0
uc2.ark+=13960=t6vx06j62,not,obscure,1873,1849,m,us,39648,0.516892606227,"Saltus, Francis Saltus,",Honey and gall,,random,0
uc2.ark+=13960=t3hx15z6g,not,obscure,1869,1824,m,us,10819,0.547152000643,"Watson, J. W.",Beautiful snow,,random,0
uc2.ark+=13960=t14m95k32,not,obscure,1875,1853,m,uk,33308,0.583835499285,"Waller, Bryan Charles.",The twilight land,,random,0
uc2.ark+=13960=t0qr4p29x,not,obscure,1878,0,,,71708,0.444381865397,"Hopkins, Alphonso A.","Waifs, and their authors",,random,0
uc2.ark+=13960=t1bk1c13v,not,obscure,1875,1841,m,uk,20707,0.610283532429,"Rhoades, James,",Timoleon;,,random,0
uc2.ark+=13960=t90865x9t,rev,obscure,1913,1877,m,uk,46670,0.695329542699,"Helston, John.",Aphrodite,PMV,reviewed,1
uc2.ark+=13960=t57d2rh5g,rev,obscure,1902,1859,m,us,14821,0.511104291602,"Millard, Bailey,",Songs of the press and other adventures in verse,ATL,reviewed,1
dul1.ark+=13960=t84j19z0d,not,obscure,1861,1834,m,us,1684,0.281884950802,"Mangum, A. W.",The holy shield,,random,0
loc.ark+=13960=t0wq0dz13,not,obscure,1872,0,m,us,16251,0.465619073602,"Armstrong, J. A.",Harvest,,random,0
uc2.ark+=13960=t7sn0664h,rev,known,1896,1818,f,uk,90782,0.511903366568,"Alexander, Cecil Frances,",Poems,BM,reviewed,1
uc2.ark+=13960=t6zw19s10,rev,known,1892,1850,m,us,33676,0.494513091875,"Field, Eugene,",Second book of verse,ATL,reviewed,1
uc2.ark+=13960=t2k64b16p,rev,known,1866,1817,m,us,6470,0.339998448783,"Janvier, Francis De Haes,",Patriotic poems,ATL,reviewed,1
nyp.33433075816078,not,obscure,1904,1872,m,us,4354,0.538334749727,"Ehrmann, Max,",Breaking home ties,,random,0
nyp.33433066651120,not,obscure,1912,1871,m,us,13492,0.602152619849,"Lindsey, Frederick Brooks.",The spirit Prospero,,random,0
uc2.ark+=13960=t24b32t74,rev,known,1827,1799,m,uk,34335,0.629074324653,"Hood, Thomas,",The plea of the midsummer fairies,GrM,reviewed,1
mdp.39015065250162,rev,known,1905,1875,f,us,26207,0.634675110179,"Branch, Anna Hempstead,","The shoes that danced, and other poems",ATL,reviewed,1
mdp.39015059548340,rev,known,1871,1837,m,uk,48622,0.69757096915,"Swinburne, Algernon Charles,",Songs before sunrise,FR,"Norton, in-set",1
uc2.ark+=13960=t45q4rv9v,rev,known,1853,1829,m,uk,34325,0.656032231329,"Smith, Alexander,",Poems,ER,reviewed,1
uc2.ark+=13960=t9q23x35j,rev,known,1865,1819,m,uk,25024,0.443441860346,"Capern, Edward,",Wayside warbles,FR,reviewed,1
nyp.33433076034895,not,obscure,1831,1796,m,us,19512,0.567768345792,"Hill, George,",The ruins of Athens,,random,0
nyp.33433074819172,rev,known,1868,1840,m,us,43095,0.583452684014,"Wright, William Bull,",Highland rambles: a poem,ATL,reviewed,1
loc.ark+=13960=t7dr3ch6b,not,obscure,1859,1806,m,us,18393,0.346872024826,"[Hoyt, Ralph],",Echoes of memory and emotion,,random,0
nyp.33433074931332,not,obscure,1864,1800,m,uk,15037,0.56308600681,"Taylor, Henry,",The poetical works,,random,0
uc1.31822038204301,rev,known,1881,1854,m,uk,29952,0.692234727415,"Wilde, Oscar,",Poems,ATL,"Norton, in-set",1
uc2.ark+=13960=t55d8t71f,rev,known,1824,1789,m,uk,23198,0.338795404313,"Conder, Josiah,",Star in the East;,QR,reviewed,1
nyp.33433074914437,rev,known,1835,1770,m,uk,42138,0.478978871947,"Wordsworth, William,",Yarrow revisited,QR,"Norton, in-set",1
nyp.33433044042400,not,obscure,1899,1837,f,us,73465,0.443375575709,"Machar, Agnes Maule,",Lays of the 'True North',,random,0
uc1.b4104728,rev,known,1859,1809,m,uk,47098,0.661045159325,"Tennyson, Alfred Tennyson,",Idyls of the King,WR,"Norton, in-set",1
uc2.ark+=13960=t92807683,rev,known,1913,1886,m,us,25346,0.64463033033,"Wheelock, John Hall,",Love and liberation;,PMV,reviewed,1
loc.ark+=13960=t78s5649n,not,obscure,1866,1821,m,us,6699,0.360910688425,"Fulkerson, A.,",Miscellanies of Fulkerson,,random,0
nnc1.cr60018283,not,obscure,1869,1815,m,us,138474,0.245892392598,"Jones, Darius E.",Songs for the new life ;,,random,0
nyp.33433074849278,not,obscure,1903,1853,m,us,19191,0.431071737116,"Faulkner, S. E. Sherwood.",Sea murmurs and woodland songs,,random,0
loc.ark+=13960=t4nk3w21x,rev,obscure,1873,0,,,44061,0.456125658497,"Colman, James F.","The knightly heart, and other poems",ATL,reviewed,1
loc.ark+=13960=t6zw1zm9g,not,obscure,1867,1811,m,us,23796,0.302626305315,"Cox, Sandford C.","The evangelist, and other poems",,random,0
uc1.b3576529,rev,known,1847,1811,m,us,75266,0.553805075523,"Street, Alfred Billings,",The Poems of Alfred B. Street,WR,reviewed,1
uc2.ark+=13960=t1kh0h70v,not,obscure,1866,0,,,6100,0.407624357265,A.,"The starling of the spire; or, A bird's eye view of the church as it was",,random,0
uc1.b4101575,rev,known,1915,1885,m,us,14720,0.671783274203,"Percy, William Alexander,",Sappho in Levkas,PMV,reviewed,1
uc2.ark+=13960=t6639r26n,rev,known,1861,1814,m,uk,55290,0.565854275784,"De Vere, Aubrey,",The sisters,ATL,reviewed,1
njp.32101051388039,not,obscure,1862,1831,f,uk,19632,0.446895857289,"Fotherby, Marie J. E.",Poems,,random,0
mdp.39015059421811,rev,known,1872,1809,m,uk,14473,0.557438269521,"Hake, Thomas Gordon,",Parables & tales,FR,reviewed,1
uc1.b3335682,rev,known,1912,1878,m,uk,9495,0.70570972218,"Gibson, Wilfrid Wilson,",Fires,FR,reviewed,1
uc1.b167489,rev,known,1820,1784,m,uk,40273,0.348157039986,"Barton, Bernard,",Poems,ER,reviewed,1
loc.ark+=13960=t00z7rp24,not,obscure,1868,0,,,2273,0.490852740393,anonymous6,The San Francisco fairy,,random,0
uc2.ark+=13960=t40r9pj9p,not,obscure,1867,0,f,uk,65657,0.209870393671,"Sawers, Eliza.",Under a cloud,,random,0
uc1.b173242,rev,known,1825,1793,f,uk,35606,0.52172205193,"Hemans,",The forest sanctuary,ER,"Norton, in-set",1
loc.ark+=13960=t5n881k59,rev,known,1878,1847,m,us,35511,0.645120001961,"Fawcett, Edgar,",Fantasy and passion,ATL,reviewed,1
loc.ark+=13960=t7dr3b23n,not,obscure,1871,1835,m,us,12755,0.415616718735,"Le Cato, N. J. W.",Theodora and other poems,,random,0
uc2.ark+=13960=t48p67m2g,rev,known,1877,1823,m,uk,23133,0.576160138981,"Patmore, Coventry Kersey Dighton,",The unknown Eros,FR,reviewed,1
loc.ark+=13960=t52f8bw22,rev,known,1825,1774,m,uk,20450,0.443967967925,"Southey, Robert,",A tale of Paraguay,QR,reviewed,1
uc2.ark+=13960=t6k070h7g,rev,known,1918,1881,f,uk,8729,0.685035285755,"Farjeon, Eleanor,",Sonnets and poems,EGO,reviewed,1
njp.32101068604063,rev,known,1885,1850,m,uk,9070,0.64573001924,"Stevenson, Robert Louis,",A child's garden of verses,FR,reviewed,1
uc1.32106001950101,rev,known,1870,1848,m,uk,43385,0.698878217292,"Rossetti, Dante Gabriel,",Poems,FR,"Norton, in-set",1
uc1.b274729,not,obscure,1894,1859,m,us,21110,0.552825669456,"Thayer, William Roscoe,",Poems;,,random,0
uc2.ark+=13960=t05x2b429,not,obscure,1821,0,f,uk,30542,0.2755948719,"Garrington, Eliza.",Spiritual recreations in the chamber of affliction,,random,0
mdp.39015071556941,not,obscure,1877,0,f,us,9919,0.279780407824,"King, Delia Chase",The tidal wave,,random,0
uc1.b3556169,rev,known,1861,1808,f,uk,18288,0.579925046379,"Norton, Caroline Sheridan,",The lady of La Garave,WR,reviewed,1
uc2.ark+=13960=fk5p84448t,rev,known,1902,1866,m,us,6542,0.452241296932,"Taylor, Bert Leston,",Line-o'-type lyrics,ATL,reviewed,1
hvd.32044058247099,rev,known,1842,1809,m,uk,28917,0.705545589979,"Tennyson, Alfred Tennyson,",Poems in two volumes,GrM,"Norton, in-set",1
uc1.b182439,rev,known,1856,1824,m,uk,39429,0.592795776486,"Dobell, Sydney,",England in time of war,ER,reviewed,1
nnc1.0043351883,rev,known,1820,1787,m,uk,23918,0.591171806482,"Cornwall, Barry,",A Sicilian story,ER,reviewed,1
uc2.ark+=13960=t5h990m69,rev,known,1901,1875,f,us,18555,0.691792265851,"Branch, Anna Hempstead,",The heart of the road,ATL,reviewed,1
uc2.ark+=13960=t94748994,not,obscure,1917,1888,m,us,18319,0.651048614256,"Wood, Clement,",Glad of earth,,random,0
uc2.ark+=13960=t5gb1xt7n,not,obscure,1905,1863,m,us,6642,0.520236639848,"Herford, Oliver,",The fairy godmother-in-law,,random,0
uc1.b119842,not,obscure,1888,1836,f,us,28708,0.549950428111,"Mace, Frances Parker (Laughton)",Under pine and plam,,random,0
uc2.ark+=13960=t8tb13h9k,not,obscure,1845,1779,f,uk,17520,0.306226078571,"Leckie, Horner, Mrs",[Mrs. Leckie's poems,,random,0
uc2.ark+=13960=t9n29q258,rev,known,1881,1834,f,us,32490,0.541428719927,"Fields, Annie,",Under the olive,ATL,reviewed,1
uc2.ark+=13960=t80k2ck75,rev,known,1860,1814,m,uk,22504,0.554683270843,"Mackay, Charles,",A man's heart,WR,reviewed,1
loc.ark+=13960=t3nw08094,not,obscure,1871,1839,f,us,19073,0.50931265132,"Spalding, Lucy Billings,","The ruined statues, and other poems",,random,0
loc.ark+=13960=t5s75wn6s,rev,obscure,1874,0,,,27555,0.593692946137,"Hudson, H. R.",Poems,ATL,reviewed,1
mdp.39015023542395,rev,known,1840,1762,f,uk,54405,0.451191501198,"Baillie, Joanna,",Fugitive verses,QR,"Norton, in-set",1
mdp.39015030050648,rev,known,1862,1830,f,uk,52321,0.665462644699,"Rossetti, Christina Georgina,",Goblin market and other poems,WR,"Norton, in-set",1
loc.ark+=13960=t40s0803k,not,obscure,1918,1876,m,us,16059,0.466068218589,"Jenness, Burt Franklin,",Man-o'-war rhymes,,random,0
