volid,reviewed,obscure,pubdate,birthdate,gender,nation,allwords,logistic,author,title,pubname,actually,realclass
uc1.b253348,not,obscure,1878,1844,m,us,89506,0.470331783507,"Cowan, Frank,",Southwestern Pennsylvania in song and story,,random,0
njp.32101064671389,not,obscure,1834,1792,m,uk,43842,0.35177478896,"Trenhaile, J.",Recreations in rhyme,,random,0
uc2.ark+=13960=t7kp7vd46,not,obscure,1878,1850,m,us,46793,0.350046791008,"Brunton, William,",Daisies,,random,0
loc.ark+=13960=t42r4b17k,not,obscure,1914,1871,f,us,10056,0.395954823793,"Hinckley, Mercy Adeline,",Life-colors,,random,0
hvd.hwh1bt,not,obscure,1841,1776,m,uk,198517,0.364597637139,"Fitchett, John,",King Alfred,,random,0
mdp.39015065423868,not,obscure,1860,0,m,us,36886,0.524460463752,"Newman, John B.",Wa-Wa-Wanda,,random,0
mdp.39015000595614,rev,known,1914,1882,m,us,20921,0.635650668268,"Oppenheim, James,","Songs, for the new age",PMV,reviewed,1
uc2.ark+=13960=t2f766k62,rev,known,1894,1862,m,us,26137,0.625610503478,"Mitchell, Langdon Elwyn,",Poems,ATL,reviewed,1
uc2.ark+=13960=t79s1pt8q,rev,known,1901,1834,m,us,14645,0.539865605636,"Webb, Charles Henry,",With lead and line along varying shores;,ATL,reviewed,1
loc.ark+=13960=t3nv9z201,not,obscure,1917,1855,f,us,9522,0.25548988304,"Kirk, Annie (Brindley),",Inspirational poems,,random,0
loc.ark+=13960=t90872358,rev,known,1873,1844,m,uk,32934,0.534000797954,"O'Reilly, John Boyle,",Songs from the southern seas,ATL,reviewed,1
uc2.ark+=13960=t6736rz12,rev,known,1855,1824,m,uk,26193,0.6027913729,"Allingham, William,",Day and night songs; and The music-master,ER,reviewed,1
uc1.b166368,rev,known,1819,1791,m,uk,7200,0.398624705166,"Leigh, Chandos,",The view,ER,reviewed,1
mdp.39015030756970,rev,known,1914,1874,f,us,27569,0.674793344114,"Lowell, Amy,",Sword blades and poppy seed,EGO,"Norton, in-set",1
uc1.b3342759,not,obscure,1919,1874,f,us,4807,0.368068045964,"Wigren, Bessie C.",Summer wind,,random,0
uc2.ark+=13960=t9h41kd1k,rev,known,1900,1825,f,us,10421,0.588713670825,"Dorr, Julia C. R.",Afterglow;,ATL,reviewed,1
loc.ark+=13960=t85h8fd4f,not,obscure,1916,1848,m,us,19835,0.31400280631,"White, Charles Edward,",Poems of school and life,,random,0
loc.ark+=13960=t6pz5tc3h,rev,known,1894,1862,m,us,15718,0.561085821517,"Parker, Gilbert,",A lover's diary,ATL,reviewed,1
loc.ark+=13960=t84j0zq4p,not,obscure,1855,1809,m,us,8858,0.408748025175,"Clark, George Hunt,",Now and then,,random,0
njp.32101068142908,not,obscure,1845,1794,m,us,25791,0.33215097927,"Lewis, Alonzo,","Love, forest flowers, and sea shells",,random,0
uc2.ark+=13960=t9280b81v,not,obscure,1897,0,m,uk,34119,0.54753308845,"Green, Septimus G.",Jennifred,,random,0
uc2.ark+=13960=t6vx09698,not,obscure,1882,1820,f,us,18213,0.549610514421,"Bailey, Urania Locke Stoughton,",Star-flowers,,random,0
nyp.33433075838023,rev,known,1895,1823,f,us,16781,0.641122741136,"Stoddard, Elizabeth,",Poems,ATL,reviewed,1
nyp.33433075971196,not,obscure,1846,1811,f,us,78643,0.442962670613,"Osgood, Frances Sargent Locke,",Poems,,random,0
njp.32101025285659,rev,known,1862,1819,m,uk,40898,0.535327594927,"Clough, Arthur Hugh,",Poems,BM,reviewed,1
nyp.33433066625637,not,obscure,1869,1831,m,us,41331,0.363730268714,"Peffer, William Alfred,",Myriorama,,random,0
uc1.b183776,not,obscure,1882,1799,m,us,12125,0.422869192243,"Alcott, Amos Bronson,",Sonnets and canzonets,,random,0
loc.ark+=13960=t9377zq1r,not,obscure,1856,0,m,us,28248,0.246284101281,"Woodward, David.",Slavery;,,random,0
uc2.ark+=13960=t3zs2qr30,rev,known,1905,1857,m,uk,35856,0.609798654782,"Davidson, John,",Selected poems,ATL,reviewed,1
loc.ark+=13960=t19k4z26m,not,known,1860,1806,m,us,71374,0.59228653815,"Willis, Nathaniel Parker,","The poems, sacred, passionate, and humorous, of Nathaniel Parker WIllis",,random,0
loc.ark+=13960=t57d3p237,not,obscure,1893,1828,f,us,31649,0.389847408663,"Roberts, Betsey Ann Smith.",Original poems,,random,0
nyp.33433076026503,rev,known,1875,1813,m,us,50962,0.541163100844,"Cranch, Christopher Pearse,",The bird and the bell,ATL,reviewed,1
uc2.ark+=13960=t7pn9f10q,rev,known,1874,1803,m,uk,42215,0.565513186858,"Lytton, Edward Robert Bulwer Lytton,",Fables in song,FR,reviewed,1
uc2.ark+=13960=t1bk19943,not,obscure,1840,0,m,uk,31206,0.386950911343,"Landreth, Peter.",The poet: The infidel,,random,0
nyp.33433066644851,rev,known,1916,1878,m,us,16762,0.67940427926,"Sandburg, Carl,",Chicago poems,PMV,"Norton, in-set",1
uc1.b4100799,rev,known,1915,1883,f,uk,5201,0.579836438762,"Wickham, Anna,",The contemplative quarry,EGO,reviewed,1
mdp.39015013092401,rev,known,1885,1809,m,uk,25099,0.626642126392,"Tennyson, Alfred Tennyson,",Tiresias,FR,"Norton, in-set",1
nyp.33433066651138,rev,known,1914,1879,m,us,19161,0.59623026631,"Lindsay, Vachel,",The Congo and other poems,PMV,reviewed,1
loc.ark+=13960=t3st8fg8k,rev,known,1912,1878,f,us,10245,0.607572968058,"Burr, Amelia Josephine,",The roadside fire,PMV,reviewed,1
uc2.ark+=13960=t52f7m21r,not,obscure,1913,1859,m,us,3946,0.454682283977,"Fare, John Thomas,",In the wilderness,,random,0
uc2.ark+=13960=t9p26qv5r,rev,known,1872,1825,f,us,38354,0.52301310303,"Dorr, Julia C. R.",Poems,ATL,reviewed,1
uc2.ark+=13960=fk9v11w414,rev,known,1914,1885,m,us,14306,0.628279465793,"Untermeyer, Louis,",Challenge,PMV,reviewed,1
loc.ark+=13960=t9572954w,rev,known,1887,1813,m,us,36569,0.544618743061,"Cranch, Christopher Pearse,",Ariel and Caliban,ATL,reviewed,1
loc.ark+=13960=t1fj32s97,not,obscure,1859,1834,m,us,28674,0.277427613992,"Carhart, John Wesley,",Sunny hours,,random,0
uc2.ark+=13960=t7gq6x66b,rev,known,1875,1837,m,uk,13179,0.714477969149,"Swinburne, Algernon Charles,",Songs of two nations,FR,"Norton, in-set",1
uc2.ark+=13960=t0gt5hn4z,rev,known,1912,1886,f,us,12898,0.710837458379,"Akins, Zoë,",Interpretations,PMV,reviewed,1
nyp.33433082209861,not,obscure,1915,1888,m,us,3624,0.457529443309,"Emmons, Earl H.,",Redskin rimes,,random,0
uc2.ark+=13960=t05x2bh3q,not,obscure,1865,0,,,43754,0.397643350818,anonymous7,Wermigey; or The weir amid the water,,random,0
uc1.b158350,rev,known,1866,1841,m,uk,47567,0.701554517216,"Buchanan, Robert Williams,",London poems,FR,reviewed,1
loc.ark+=13960=t2h70wf5d,not,obscure,1915,1858,m,us,5030,0.36864062683,"Bolmer, Clarence Buckmaster.",Day dreams,,random,0
uc2.ark+=13960=t07w68f3s,rev,known,1875,1851,m,us,15516,0.667785269267,"Lathrop, George Parsons,",Rose and roof-tree,ATL,reviewed,1
uc1.b260737,rev,known,1870,1840,m,us,18958,0.672177762394,"Weeks, Robert Kelley,",Episodes and lyric pieces,ATL,reviewed,1
loc.ark+=13960=t0dv25v7j,not,obscure,1917,1860,f,us,14890,0.44826137027,"Reed, Helen Leah,","Memorial Day, and other verse (original and translated)",,random,0
loc.ark+=13960=t4dn4q68x,not,obscure,1883,1836,m,us,14252,0.440937656775,"Hill, Theophilus H.","Passion flower, and other poems",,random,0
nyp.33433074846860,rev,known,1849,1812,m,uk,39755,0.558750091293,"Browning, Robert,",Poems,GrM,"Norton, in-set",1
loc.ark+=13960=t8ff4bv0c,not,obscure,1878,1801,m,us,32194,0.273996610919,"Means, Alexander,",A cluster of poems,,random,0
uc2.ark+=13960=t9f47r02d,not,obscure,1868,1850,m,uk,7979,0.447306013257,"Earle, John Charles,",Maximilian,,random,0
loc.ark+=13960=t20c5hr60,not,obscure,1858,1800,m,us,66811,0.277897059855,"Cotton, Alfred Jackson,",Cotton's keepsake,,random,0
uc1.b4107944,rev,known,1896,1830,f,uk,57084,0.582214036782,"Rossetti, Christina Georgina,",New poems by Christina Rossetti,BM,"Norton, in-set",1
uc2.ark+=13960=t1zc7s42g,rev,known,1887,1857,f,us,11670,0.656353938575,"Deland, Margaret Wade Campbell,",Old garden & other verses,ATL,reviewed,1
mdp.39015063980414,not,obscure,1866,1798,m,uk,39549,0.566158943728,"Henry, James,",Poematia,,random,0
uc1.b155433,rev,known,1886,1832,f,us,16100,0.593628035168,"Allen, Elizabeth Akers,",The silver bridge,ATL,reviewed,1
uc2.ark+=13960=t8gf0rg1p,not,obscure,1820,0,f,uk,18264,0.38279316517,"Grimstone, Mary Leman.","Zayda, a Spanish tale, in three cantos, and other poems, stanzas, and canzonets",,random,0
loc.ark+=13960=t63495d13,not,obscure,1892,1845,m,us,31686,0.455581009827,"Carleton, Will,",City festivals,,random,0
uc1.b325378,not,obscure,1881,1836,m,us,36809,0.54034380737,"Gordon, Hanford Lennox,",Legends of the Northwest,,random,0
uc2.ark+=13960=t1hh6hq8n,not,obscure,1825,1799,m,uk,34237,0.442434153925,"Hervey, Thomas Kibble,",The poetical sketch-book,,random,0
loc.ark+=13960=t9184308z,not,obscure,1866,0,m,us,30945,0.155033427415,"Hodson, Joseph.",Miscellaneous poems,,random,0
uc2.ark+=13960=t7gq6s57q,not,obscure,1869,0,m,us,2680,0.303495465989,"Krause, William E. F.",The sanctity of marriage,,random,0
uc2.ark+=13960=t39z93k29,not,obscure,1819,1786,m,uk,25918,0.271642520091,"Woodley, George,",Cornubia,,random,0
mdp.39015030707155,rev,known,1901,1828,m,uk,15365,0.545848076042,"Meredith, George,",A reading of life,FR,"Norton, in-set",1
njp.32101066457894,not,obscure,1871,1834,f,us,29268,0.372031383624,"Cooke, Belle W.",Tears and victory,,random,0
nnc1.1002356465,not,obscure,1828,1790,m,uk,18576,0.306748670093,"Vedder, David,","The Covenanters' communion, and other poems",,random,0
loc.ark+=13960=t3320jj4z,rev,obscure,1866,0,,,22449,0.453748073717,"Clark, Annie E.",Poems,ATL,reviewed,1
uc1.b3342492,rev,known,1913,1877,m,us,7771,0.675765700752,"Towne, Charles Hanson,",Beyond the stars and other poems,PMV,reviewed,1
uc2.ark+=13960=t81j9n694,rev,known,1915,1884,m,uk,4659,0.680302305861,"Flecker, James Elroy,",The old ships,EGO,reviewed,1
mdp.39015000544554,not,known,1894,1859,m,uk,40997,0.619546117234,"Thompson, Francis,",Poems,,random,0
loc.ark+=13960=t13n30w9p,not,obscure,1917,1888,f,us,9111,0.503167183811,"Andrews, Edith Fargo.",Vagrant visions,,random,0
uc2.ark+=13960=fk23b5wf3t,rev,known,1860,1826,f,uk,33742,0.628889188431,"Craik, Dinah Maria Mulock,",Poems,ATL,reviewed,1
dul1.ark+=13960=t5fb5xg2z,rev,known,1855,1822,m,uk,27506,0.610733285022,"Arnold, Matthew,",Poems,ER,"Norton, in-set",1
uc2.ark+=13960=t6pz52584,rev,known,1880,1809,m,us,13177,0.52043812304,"Holmes, Oliver Wendell,",The iron gate,ATL,"Norton, in-set",1
uc2.ark+=13960=t7vm4642f,rev,known,1878,1789,f,uk,25298,0.637713653903,"Elliot, Charlotte,",Medusa and other poems,BM,reviewed,1
uc1.b166365,not,obscure,1898,1852,m,uk,10025,0.543655494251,"Latymer, Francis Burdett Thomas Coutts-Nevill,",The Alhambra and other poems,,random,0
uc2.ark+=13960=t1td9p63g,not,obscure,1912,1853,m,us,18229,0.458042136752,"Peterson, Edmund Deacon.","Eros, and other poems",,random,0
loc.ark+=13960=t5w671s6k,not,obscure,1861,1835,f,us,42642,0.549573170005,"Jones, Amanda Theodocia,","Ulah, and other poems",,random,0
nyp.33433074843933,not,obscure,1846,1780,m,uk,36508,0.508561404472,"Croly, George,",The modern Orlando: a poem,,random,0
loc.ark+=13960=t7xk8wp35,not,obscure,1835,1812,m,us,2455,0.237308027094,"Patterson, Stephen,",The contrast,,random,0
hvd.hwkq92,rev,known,1830,1808,f,uk,49296,0.5571469929,"Norton, Caroline Sheridan,","The undying one, and other poems",ER,reviewed,1
uc2.ark+=13960=t9m32rn84,not,obscure,1872,0,,,15058,0.499992245688,"Pocock, I. J. Innes.",Franklin and other poems,,random,0
uc2.ark+=13960=t0zp3xm93,rev,known,1894,1845,m,us,11267,0.591864727931,"Tabb, John B.",Poems,ATL,reviewed,1
loc.ark+=13960=t5fb5nd8n,not,obscure,1887,1819,m,us,94887,0.315981288829,"Paxton, W. M.",Poems,,random,0
uc1.b274713,rev,known,1874,1831,f,us,15809,0.633277074175,"Perry, Nora,",After the ball,ATL,reviewed,1
uc2.ark+=13960=t8gf0nw9p,rev,obscure,1871,1837,m,uk,61986,0.454821307936,"McHenry, George.",Time and eternity,ATL,reviewed,1
uc2.ark+=13960=t23b62184,not,obscure,1892,1866,m,uk,18737,0.632402726681,"Le Gallienne, Richard,",English poems,,random,0
nyp.33433076039506,not,obscure,1912,1858,f,us,10108,0.553294999551,"Adams, Adeline,",Sylvia,,random,0
njp.32101067706885,not,obscure,1845,1825,f,uk,12725,0.325544450361,"Bingham, Frances Lydia.","Hubert; or, The orphans of St. Madelaine",,random,0
loc.ark+=13960=t5r78vg3h,rev,obscure,1881,1850,f,us,14744,0.528143852745,"Innsly, Owen,",Love poems and sonnets,ATL,reviewed,1
mdp.39015063931565,rev,known,1845,1813,m,us,17984,0.525344639909,"Hirst, Henry Beck,",The coming of the mammoth,GrM,reviewed,1
mdp.39015059390164,rev,known,1857,1809,m,uk,26346,0.48553574912,"Blackie, John Stuart,",Lays and Legends of Ancient Greece,WR,reviewed,1
nyp.33433066638408,rev,known,1880,1807,m,us,4107,0.60232647385,"Longfellow, Henry Wadsworth,",Ultima Thule,ATL,"Norton, in-set",1
uc2.ark+=13960=t4vh5j76c,rev,known,1866,1821,m,uk,47482,0.473178506614,"Plumptre, E. H.","Master and scholar, etc., etc",WR,reviewed,1
loc.ark+=13960=t76t19455,not,obscure,1917,1890,m,us,14259,0.443771505706,"Bachtell, Paul B.",At Lucifer's portals,,random,0
loc.ark+=13960=t7kp8gj8r,rev,obscure,1893,1856,f,us,10042,0.523477769407,"Granniss, Anna J.","Skipped stitches, verses",ATL,reviewed,1
njp.32101064713173,not,obscure,1880,1843,m,us,11031,0.451778441407,"Selden, Samuel,",Poems,,random,0
mdp.39015055468584,not,obscure,1880,1846,f,uk,4231,0.531192170263,"Greenaway, Kate,",Under the window;,,random,0
hvd.hwpnml,rev,known,1828,1788,m,uk,52274,0.525769129065,"Atherstone, Edwin,",The fall of Nineveh;,ER,reviewed,1
uc2.ark+=13960=t7pn9060k,rev,known,1896,1867,m,uk,17607,0.64658430658,"Dowson, Ernest Christopher,",The poems of Ernest Dowson,SAV,"Norton, in-set",1
loc.ark+=13960=t3320dh5b,not,obscure,1867,0,,,8828,0.362931601434,"[D'Arusmont, William E. Guthrie] [from old catalog]",The betrothed,,random,0
nyp.33433074961453,not,obscure,1914,0,,,9177,0.408803911446,"Tolman, Emily.",To a summer cloud,,random,0
njp.32101074868017,not,obscure,1839,1807,m,us,15325,0.233413250886,"Pratt, Parley P.",The millennium and other poems,,random,0
loc.ark+=13960=t23b6hk19,not,obscure,1910,0,,,13430,0.450369886168,"Farnsworth, Edward Clarence.",Saint Helena,,random,0
nyp.33433076031859,not,obscure,1897,1849,m,us,19147,0.54889375809,"Riley, James Whitcomb,",The poems and prose sketches of James Whitcomb Riley,,random,0
uc1.l0071844237,rev,known,1820,1793,f,uk,88583,0.427652780899,"Hemans,",The sceptic ;,QR,"Norton, in-set",1
nyp.33433066636329,rev,known,1914,1868,f,us,8939,0.626364933328,"Lee, Agnes,",The sharing,PMV,reviewed,1
loc.ark+=13960=t0qr5g21z,not,obscure,1902,0,,,12024,0.598778362371,"Haswin, Frances Rosina. [from old catalog]",Some songs and verses,,random,0
loc.ark+=13960=t24b3nc5c,rev,obscure,1862,0,,,34315,0.468383487337,L,"Sybelle, and other poems",WR,reviewed,1
nyp.33433004008284,not,obscure,1856,1812,m,us,21886,0.392823862621,"Prime, Samuel Irenæus",The smitten household,,random,0
loc.ark+=13960=t3805w074,rev,known,1880,0,f,,27179,0.564812636187,"Backus, Elizabeth Welch.",Three friends' fancies,ATL,reviewed,1
uc2.ark+=13960=t4pk09t89,not,obscure,1880,1830,m,,40226,0.470857961787,"St. John, Charles Henry.",Country love and city life,,random,0
mdp.39015008529144,not,obscure,1915,1887,m,uk,23770,0.719029962419,"Brooke, Rupert,",The collected poems of Rupert Brooke,,"Norton, in-set",0
nyp.33433075742027,rev,known,1887,1854,f,us,17282,0.60298429647,"Thomas, Edith Matilda,",Lyrics and sonnets,ATL,reviewed,1
njp.32101068177599,not,obscure,1878,0,,,10810,0.345302920845,"Edwards, Alfred.",Incidents in the career of Coeur de Lion,,random,0
nyp.33433074846878,rev,known,1849,1812,m,uk,38584,0.604156829439,"Browning, Robert,",Poems,GrM,"Norton, in-set",1
uc2.ark+=13960=t5db86m4v,not,obscure,1912,1881,f,us,4597,0.736290057574,"Henderson, Alice Corbin,",The spinning woman of the sky;,,random,0
mdp.39015063940111,rev,known,1894,1845,m,uk,14571,0.640536304138,"Lee-Hamilton, Eugene.",Sonnets of the wingless hours,ATL,reviewed,1
nyp.33433074903737,not,obscure,1892,1839,m,au,29892,0.285838499978,"Yarrington, W. H. H.",Australian verses,,random,0
mdp.39015003700393,rev,known,1893,1860,m,us,19661,0.658725136966,"Garland, Hamlin,",Prairie songs: being chants rhymed and unrhymed of the level lands of the great West,ATL,reviewed,1
uc2.ark+=13960=t5fb55w84,rev,known,1878,1837,m,uk,28770,0.713623788269,"Swinburne, Algernon Charles,","Poems and ballads, second series",FR,"Norton, in-set",1
nyp.33433075777346,not,obscure,1845,1784,m,us,70394,0.437934083113,"Oehlenschläger, Adam Gottlob,",The gods of the North,,random,0
loc.ark+=13960=t03x8vs4n,not,obscure,1871,0,,,1194,0.479503322731,"Wallace, E. D.",England's last queen,,random,0
uc2.ark+=13960=t9w08xj0q,rev,known,1884,1861,f,us,10314,0.578869662441,"Guiney, Louise Imogen,",Songs at the start,ATL,reviewed,1
uc2.ark+=13960=t17m05k61,rev,known,1833,1781,m,uk,46591,0.486496996241,"Elliott, Ebenezer,",[Elliott's poems],ER,reviewed,1
loc.ark+=13960=t4qj7w512,not,obscure,1871,0,,,8195,0.378431716969,"Gates, Rozina. [from old catalog]",A panoramic view of the creation!,,random,0
loc.ark+=13960=t5r78t92c,not,obscure,1862,0,m,us,5277,0.207123909554,"Elder, William. [from old catalog]",Leisure moments;,,random,0
nyp.33433075809081,not,obscure,1867,1833,m,us,6759,0.441190794758,"MacEuen, Malcolm.",A mosaic from Italy,,random,0
nyp.33433075817829,rev,known,1891,1844,m,us,9239,0.542236594717,"Gilder, Richard Watson,",Two worlds,ATL,reviewed,1
njp.32101026750396,rev,known,1830,1795,f,uk,48082,0.480767566818,"Northampton, Margaret Clephane Compton,",Irene,QR,reviewed,1
loc.ark+=13960=t2g740b7g,not,obscure,1891,1824,m,us,1110,0.299212274758,"[Loomis, George],",Memorial or Decoration day,,random,0
loc.ark+=13960=t4nk3w12z,rev,known,1886,1855,m,us,24523,0.630998152774,"Adams, Oscar Fay,",Post-laureate idyls,ATL,reviewed,1
nyp.33433075831325,not,obscure,1905,1860,m,us,7429,0.545169613216,"Grant, Percy Stickney,",Ad matrem,,random,0
nyp.33433074874540,rev,known,1898,1859,m,uk,19544,0.625276098925,"Rhys, Ernest,",Welsh ballads,FR,reviewed,1
hvd.hn8n81,not,obscure,1823,1795,m,us,51093,0.45908899707,"Percival, James Gates,",Poems,,random,0
loc.ark+=13960=t9g458b15,not,obscure,1915,1855,f,us,1251,0.489451358294,"Ferris, Mary Lanman Douw ""Mrs. Morris P. Ferris,"",",A legend of New Year eve,,random,0
uc2.ark+=13960=t52f7kv9h,rev,known,1825,1794,f,us,39723,0.500036768174,"Brooks, Maria Gowen,","Zóphiël; or, The bride of seven",QR,reviewed,1
uc1.b165945,rev,known,1830,1807,m,uk,47528,0.439569548539,"Montgomery, Robert,","Satan, a poem",ER,reviewed,1
uc2.ark+=13960=t4kk99f3f,rev,known,1858,1819,m,uk,20714,0.611450839721,"Kingsley, Charles,",Andromeda and other poems,WR,"Norton, in-set",1
hvd.hwnzqz,rev,known,1819,1788,m,uk,6780,0.470784545417,"Byron, George Gordon Byron,",The prophecy of Dante,ER,"Norton, in-set",1
uc2.ark+=13960=t5w66h075,rev,known,1881,1824,m,uk,60966,0.508143172455,"Palgrave, Francis Turner,",The visions of England,MM,reviewed,1
nyp.33433076040298,rev,known,1869,1842,m,us,26698,0.60822948955,"Abbey, Henry,",Stories in verse,ATL,reviewed,1
nyp.33433074801030,not,obscure,1914,1875,m,us,9923,0.488041673512,anonymous0,Songs of the underworld,,random,0
loc.ark+=13960=t3cz3sw3f,not,obscure,1852,1820,f,us,21988,0.332271744623,"Truesdell, Helen.",Poems,,random,0
uc1.b3626228,rev,known,1917,1889,m,us,22734,0.806983100812,"Aiken, Conrad,","Nocturne of remembered spring, and other poems",EGO,reviewed,1
nyp.33433076013501,not,obscure,1880,1806,m,us,15881,0.303727601756,"Currier, Moody,",Early poems,,random,0
loc.ark+=13960=t9w09kt0j,rev,known,1878,1844,m,us,7165,0.647999188763,"Gilder, Richard Watson,",The poet and his master,ATL,reviewed,1
nyp.33433074899968,not,obscure,1852,1793,f,uk,20528,0.464587991817,"MacLean, Anna Jane.",Eman More,,random,0
mdp.39015033891238,rev,known,1881,1827,m,us,22081,0.558621377932,"Trowbridge, J. T.",A home idyl,ATL,reviewed,1
wu.89099755217,rev,known,1867,1819,m,us,44943,0.537304221204,"Holland, J. G.",Kathrina,ATL,reviewed,1
uc1.b3311873,not,obscure,1830,1780,m,uk,21202,0.565192875409,"Croly, George,",The poetical works of the Rev. George Croly,,random,0
loc.ark+=13960=t00z7s04j,rev,known,1878,1840,m,us,16366,0.35479669857,"McKnight, George,","Life and faith, sonnets",ATL,reviewed,1
loc.ark+=13960=t72v3f90h,not,obscure,1859,0,m,us,3758,0.451918594227,"Russel, Charles Porter,",In tenebris,,random,0
uc1.b166335,rev,known,1847,1775,m,uk,52107,0.574815107215,"Landor, Walter Savage,",The Hellenics of Walter Savage Landor,ER,reviewed,1
loc.ark+=13960=t3qv42x82,rev,known,1860,1824,m,uk,143781,0.626611354761,"Dobell, Sydney,",Poems,ATL,reviewed,1
njp.32101067004133,not,obscure,1886,1816,m,uk,25649,0.449716930566,"Thom, Robert W.,",Poems and ballads,,random,0
uc2.ark+=13960=t6c24sg58,rev,known,1823,1779,m,uk,15889,0.539698206834,"Moore, Thomas,",The loves of the angels,ER,reviewed,1
uc1.32106001957635,rev,known,1872,1809,m,uk,14105,0.653058248161,"Tennyson, Alfred Tennyson,",Gareth and Lynette,FR,"Norton, in-set",1
uc2.ark+=13960=t3xs5ms31,not,obscure,1880,1840,m,uk,43484,0.689675283296,"Symonds, John Addington,",New and old,,random,0
dul1.ark+=13960=t75t4h116,rev,known,1867,1822,m,uk,30155,0.568029341937,"Arnold, Matthew,",New poems,FR,"Norton, in-set",1
uc1.b273058,not,obscure,1878,1825,m,us,30109,0.381925295102,"Poston, Charles D.",Apache-land,,random,0
uc2.ark+=13960=t9959jh8d,rev,known,1847,1800,m,uk,13336,0.552127376987,"Taylor, Henry,","The eve of the conquest, and other poems",ER,reviewed,1
njp.32101067632792,not,obscure,1860,1835,m,us,20473,0.378196520363,"Donaldson, Samuel J.,",Lyrics,,random,0
uc1.b4100432,not,obscure,1907,1864,m,us,31249,0.506601745845,"Eilshemius, Louis M.",All about girls,,random,0
nyp.33433075790992,not,obscure,1901,1863,m,us,5400,0.313993254669,"Fitzpatrick, Ernest Hugh.",The passing of William McKinley,,random,0
loc.ark+=13960=t3xs6b07q,not,obscure,1894,1851,f,us,3774,0.26381761626,"Choate, Clara Elizabeth. [from old catalog]",Songs of truth,,random,0
loc.ark+=13960=t7wm1th1h,not,obscure,1902,1819,m,us,14767,0.461613600889,"McClintick, William Trimble. [from old catalog]",Verses written during a busy lawyer's life,,random,0
uc1.b3546464,rev,known,1895,1867,m,uk,27582,0.60522471538,"Johnson, Lionel Pigot,",Poems,FR,reviewed,1
nyp.33433084126113,not,obscure,1848,1809,m,us,18867,0.426186617217,"Dow, Jesse Erskine,",The American seasons,,random,0
wu.89099777773,not,obscure,1883,1835,m,us,47970,0.510814695152,"Croffut, W. A.",A midsummer lark,,random,0
uc2.ark+=13960=t5n875h7n,rev,known,1892,1825,f,us,81949,0.571459450866,"Dorr, Julia C. R.",Poems,ATL,reviewed,1
nyp.33433076033103,not,obscure,1825,1794,f,us,41415,0.497934408798,"Brooks, Maria Gowen,",Zóphiël;,,random,0
